ID,SMILES
0,O=C(Nc1nncs1)c1cccnc1
1,COc1ccc(N2CCCN(CC3CCN(C(=O)C4CC4)CC3)CC2)cc1
2,Cc1[nH]nc(CCC(=O)NCCCOC2CCCC2)c1C
3,Cc1cc(C)n2ncc(C(=O)Nc3cccc(C(=O)O)c3)c2n1
4,CCn1ncnc1-c1[nH]cnc1-c1ccccc1
5,Cc1nnnn1CCN(C)c1ccccc1
6,COc1ccccc1C(=O)NCc1nc(C)cc(N2CCCCC2)n1
7,COc1ccc(Cc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)cc1
8,O=c1c2ccccc2nnn1CCOc1ccc(F)cc1
9,COc1ccc(OCc2n[nH]c(-c3ncoc3C(C)C)n2)cc1
10,O=C(C1CCCN(Cc2cc3c(cc2O)OCO3)C1)N1CCOCC1
11,O=C(c1ccc(Cl)cc1)N1CCC[C@@H](C(=O)N2CCc3ccccc3C2)C1
12,Cc1cc(N(C)C)nc(-n2ccnc2)n1
13,CN(C)C1(CNC(=O)N2CCC=C(c3ccccc3)C2)CCOCC1
14,CC(C)n1cc(CN2CCC(c3nc(N(C)C)no3)CC2)cn1
15,CC(=O)N1CCN(C(=O)CCc2ccc(-c3ccccc3)[nH]2)CC1
16,CON(C)C(=O)c1cccc2c(C)c(C)[nH]c12
17,Cc1nc(Cc2ccccc2)sc1C(=O)Nc1cccc(-c2ccn[nH]2)c1
18,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2
19,COC(=O)N1CC(NCc2c(C)nn(C(C)(C)C)c2C)C1
20,CCc1nnc(Sc2nc3cc(C)nn3c3ccccc23)[nH]1
21,Cc1nn(C)c(C)c1NC(=O)CN1CCN(c2nccs2)CC1
22,COc1cccc(C(=O)C[n+]2cc(-c3ccc(F)cc3)n(C)c2N)c1
23,Cc1ccc(-n2cc(C)cn2)c(NC(=O)CN(C)C)c1
24,O=C(CN1CCCC(c2cncc(-c3cccc(Cl)c3)n2)C1)N1CCCC1
25,NC(=O)c1cnc(NC2CC2)nc1CCNC(=O)C1(c2cccc(F)c2)CCOCC1
26,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
27,COc1ccc(C)nc1-c1ccc(OC)c(OC)c1OC
28,O=C(NCc1nnc2c(O)nccn12)C1CCCC1
29,CC1(C)Cc2cc(CN3CCC4(CC3)NC(=O)N(Cc3ccccc3)C4=O)ccc2O1
30,Cn1c(=O)c2c(nc3n2CCN3Cc2c(F)cccc2Cl)n(C)c1=O
31,CNCc1cc(N(C)C)nc(C2CCCN2C(=O)C2CN(Cc3ccc(Cl)cc3)C2)n1
32,O=C(c1ccc(-c2ccncc2)cc1)N1CCC(O)(CN2CCCC2)CC1
33,Cc1nsc(NCc2cncs2)n1
34,COc1ccc(C2(NCc3cccc4ncccc34)CC2)cc1
35,CC(C)CCN1CCC(CNS(C)(=O)=O)CC1
36,CCOC(=O)N1CCC(Nc2nc3ccccc3s2)CC1
37,O=C(c1ccc(O)nc1)N1CCN(c2ncccn2)CC1
38,COCc1nn(CCCN2CCCCC2)c(=O)o1
39,COc1ccc2nc(C)nc(N3CC(CO)C3)c2c1
40,Cc1ccc(C(=O)C2CCN(CC(=O)NC(=O)Nc3ccccc3)CC2)c(C)c1
41,Cc1ccc(S(=O)(=O)N2CCC[C@H](C(=O)NC3CCOCC3)C2)cc1
42,C[C@H]1CC[C@H](n2c3cnccc3c3cnc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)nc32)CC1
43,COc1ccccc1CNC(=O)c1cnc(C2CCN(C(=O)C(C)(C)C)CC2)nc1C
44,Fc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1
45,CCC(CC)N1CC[C@H](O)[C@@](O)(COc2cc(C)ccc2Cl)C1
46,Cc1nn(C(F)F)c(C)c1CC(=O)NCCNC(C)(C)C
47,CCCS(=O)(=O)N1CCCC(C(=O)N2CCc3ccccc3C2)C1
48,Cc1oc(C)c(C(=O)N(C)Cc2ccccc2N2CCOCC2)c1C
